NUTS_ID,NUTS_NAME,date,dewpoint_temperature_2m,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
ITC,Nord-Ovest,01/01/2012,272.4195173,274.9880472,1.63E-04,-0.123584252,-0.084204548
ITF,Sud,01/01/2012,271.3459047,277.9733581,8.52E-07,0.767937143,-0.34774853
ITG,Isole,01/01/2012,279.9898231,282.8058453,5.95E-04,1.577160367,-0.544425417
ITI,Centro (IT),01/01/2012,271.5592946,277.1632253,3.61E-06,-0.585942211,0.383928403
ITH,Nord-Est,01/01/2012,270.508138,273.9196855,3.25E-04,0.174100447,-0.104682898
ITC,Nord-Ovest,02/01/2012,273.605682,274.5906958,0.012617243,-0.099678287,-0.199357004
ITF,Sud,02/01/2012,275.7330185,279.3184133,2.38E-04,0.6278025,1.185948818
ITG,Isole,02/01/2012,280.7166028,282.9034003,6.99E-04,1.339408987,1.055569774
ITI,Centro (IT),02/01/2012,278.5181234,280.354994,0.003729697,-0.526700367,1.778353971
ITH,Nord-Est,02/01/2012,273.0210136,274.4398103,0.007408745,-0.275396033,-0.189711113
ITC,Nord-Ovest,03/01/2012,270.6780418,274.2880743,3.90E-04,0.515541368,-0.401211409
ITF,Sud,03/01/2012,279.1598264,281.1666152,9.20E-04,-0.254739642,0.527969797
ITG,Isole,03/01/2012,279.8999501,282.2262352,0.00288484,1.685276686,-1.356635925
ITI,Centro (IT),03/01/2012,279.6651712,280.9778703,0.005382457,-0.527152295,-0.539506145
ITH,Nord-Est,03/01/2012,273.7344073,275.6095821,0.004252248,0.572945533,-0.702140922
ITC,Nord-Ovest,04/01/2012,269.6302383,272.9641575,9.70E-04,0.61794155,-0.411231555
ITF,Sud,04/01/2012,279.0443671,280.8695733,9.49E-04,0.741255003,0.737071202
ITG,Isole,04/01/2012,279.781956,282.114563,8.39E-04,2.555140728,-1.145764469
ITI,Centro (IT),04/01/2012,278.4550022,279.5241978,0.003269281,-0.353669373,0.322138594
ITH,Nord-Est,04/01/2012,271.1641758,272.938339,9.11E-04,0.482224196,-0.261725574
ITC,Nord-Ovest,05/01/2012,269.5904451,273.4610326,0.007012523,0.773239199,-0.252430789
ITF,Sud,05/01/2012,278.952899,281.3154876,0.001488143,1.976307765,1.333390825
ITG,Isole,05/01/2012,279.3983017,282.6193663,5.37E-04,4.589419035,-1.581432762
ITI,Centro (IT),05/01/2012,277.6652175,279.346737,0.001532036,0.604720245,0.959788692
ITH,Nord-Est,05/01/2012,270.1324901,272.7258775,0.002699723,0.848426881,0.169826798
ITC,Nord-Ovest,06/01/2012,265.1980411,273.3324409,0.001867024,2.301772084,-1.222529422
ITF,Sud,06/01/2012,274.2502606,279.3255885,0.009689876,2.215596367,-4.279782517
ITG,Isole,06/01/2012,275.55172,282.2424663,0.003486901,5.20058382,-4.795467182
ITI,Centro (IT),06/01/2012,269.9102067,278.7836538,0.001633222,1.395499957,-3.488048214
ITH,Nord-Est,06/01/2012,265.997307,273.7511844,0.001873055,2.356309876,-1.711533388
ITC,Nord-Ovest,07/01/2012,265.9133234,272.3209448,4.25E-04,1.100674715,-0.417230788
ITF,Sud,07/01/2012,270.4455519,278.0579233,5.82E-05,1.484638915,-4.514485817
ITG,Isole,07/01/2012,274.3095829,280.5120093,3.29E-04,1.946067957,-2.919423722
ITI,Centro (IT),07/01/2012,269.8928676,277.504987,2.09E-06,0.720613033,-0.886583947
ITH,Nord-Est,07/01/2012,266.883632,273.1430058,9.09E-04,1.063765454,-0.255694008
ITC,Nord-Ovest,08/01/2012,269.5233614,274.1769322,6.80E-04,0.715189605,-0.645975066
ITF,Sud,08/01/2012,271.4903794,277.9767937,3.15E-04,1.392203401,-1.198754012
ITG,Isole,08/01/2012,277.4918379,281.2644126,1.10E-04,3.139927452,-1.446483944
ITI,Centro (IT),08/01/2012,273.0936337,277.7319385,1.87E-05,0.174392741,-0.488508898
ITH,Nord-Est,08/01/2012,268.9032375,273.3780129,0.001440639,0.610667002,-0.597708367
ITC,Nord-Ovest,09/01/2012,268.2313864,273.2815302,1.07E-04,0.771742724,-0.574311791
ITF,Sud,09/01/2012,272.5888998,277.0540479,0.001756925,0.688186767,-2.586041281
ITG,Isole,09/01/2012,276.3727712,280.3831524,9.52E-04,-0.217274458,-2.130291164
ITI,Centro (IT),09/01/2012,271.7131309,277.0119993,3.73E-05,-0.090861755,-1.158692853
ITH,Nord-Est,09/01/2012,267.9028423,272.6761099,3.05E-04,0.839392013,-0.503137538
