NUTS_ID,NUTS_NAME,date,dewpoint_temperature_2m,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,01/01/2012,283.721202,284.5850029,0.007620323,3.852791932,5.16556089
BE2,Vlaams Gewest,01/01/2012,283.7366641,284.689318,0.008474242,3.742055605,4.771011939
BE3,Région wallonne,01/01/2012,282.9737849,283.4419183,0.00702415,3.620436749,4.771749159
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,02/01/2012,278.1192513,280.2059113,0.005724222,4.075300287,2.3389548
BE2,Vlaams Gewest,02/01/2012,278.0258633,280.4459768,0.003640497,3.874783248,2.269947922
BE3,Région wallonne,02/01/2012,277.8826501,279.5259258,0.011835902,4.21363591,2.071905707
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,03/01/2012,277.447045,280.5541625,0.003677981,5.334066266,6.384554597
BE2,Vlaams Gewest,03/01/2012,277.4832249,281.0151637,0.004077832,5.41471967,6.035166168
BE3,Région wallonne,03/01/2012,277.1383932,279.0742357,0.005546633,4.916323575,6.092514155
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,04/01/2012,274.7099791,279.2876852,0.00435816,6.129641467,2.289108486
BE2,Vlaams Gewest,04/01/2012,274.9595788,279.7046759,0.004308815,6.463932445,1.958006573
BE3,Région wallonne,04/01/2012,274.608207,277.8911808,0.004228227,6.066740536,2.111904768
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,05/01/2012,277.2156568,280.2313102,0.011287089,8.060311087,-1.508171426
BE2,Vlaams Gewest,05/01/2012,277.1991596,280.6117813,0.010494297,8.210458214,-1.824036892
BE3,Région wallonne,05/01/2012,276.8439646,278.6833863,0.019488663,8.067695052,-0.922660469
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,06/01/2012,274.3081622,277.8472888,0.001204905,4.208363997,-1.837375463
BE2,Vlaams Gewest,06/01/2012,274.7309335,278.4772867,0.001276154,4.222762191,-2.109926881
BE3,Région wallonne,06/01/2012,273.7454409,276.1867064,0.002725008,4.396984589,-2.087784854
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,07/01/2012,277.5100327,280.1059937,0.002459034,5.264578181,-0.141902949
BE2,Vlaams Gewest,07/01/2012,277.7861259,280.4589685,0.003013519,5.470128434,-0.482419518
BE3,Région wallonne,07/01/2012,276.6534857,278.3023076,0.005560037,5.006764822,-0.042139465
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,08/01/2012,276.9572284,278.7938151,0.001361177,3.528635316,-1.103565799
BE2,Vlaams Gewest,08/01/2012,277.2102675,279.3242124,0.001277132,3.642655978,-1.470724276
BE3,Région wallonne,08/01/2012,276.0686915,277.4104314,0.002101279,3.677001888,-1.405137105
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,09/01/2012,279.1135151,280.6550389,7.98E-04,3.308596062,0.373639387
BE2,Vlaams Gewest,09/01/2012,279.4614597,280.972951,8.55E-04,3.416042836,0.146864208
BE3,Région wallonne,09/01/2012,278.3161724,279.2140955,0.001726752,3.20529809,0.166740591
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,10/01/2012,280.4298137,281.1784551,2.46E-04,2.206126514,0.891145466
BE2,Vlaams Gewest,10/01/2012,280.3974224,281.2277583,1.65E-04,2.310854226,0.795104208
BE3,Région wallonne,10/01/2012,279.3684406,280.1523586,4.09E-04,2.121374577,0.230530075
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,11/01/2012,279.5759755,281.1611357,4.90E-05,3.034007127,1.587909543
BE2,Vlaams Gewest,11/01/2012,279.7884466,281.3017275,4.01E-05,3.035525524,1.497172169
BE3,Région wallonne,11/01/2012,278.8565184,280.1212716,2.59E-04,2.761005181,1.015330634
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,12/01/2012,278.7965183,280.5978551,0.001500017,4.495069378,1.068798936
BE2,Vlaams Gewest,12/01/2012,278.8962457,280.8638655,0.001252135,4.466808405,0.765571119
BE3,Région wallonne,12/01/2012,278.0596108,279.3541398,0.00180514,4.32854226,0.919347088
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,13/01/2012,274.3850903,276.2559856,4.04E-04,2.147860834,-1.396192231
BE2,Vlaams Gewest,13/01/2012,274.5387604,277.0258263,4.04E-04,2.071614161,-1.821367657
BE3,Région wallonne,13/01/2012,273.8926391,275.1513427,7.17E-04,2.19611584,-1.736449581
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,14/01/2012,272.1871482,274.3114263,7.34E-06,0.108656552,-1.149761537
BE2,Vlaams Gewest,14/01/2012,272.7240719,275.1815182,2.87E-05,0.068731546,-1.164639021
BE3,Région wallonne,14/01/2012,270.9439447,272.9983254,1.95E-05,-0.179762226,-1.642348495
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,15/01/2012,271.4198549,273.1652199,8.54E-07,-2.538832448,-0.198184928
BE2,Vlaams Gewest,15/01/2012,271.913414,273.6277396,1.39E-06,-2.41374214,-0.241820907
BE3,Région wallonne,15/01/2012,270.7268155,272.7123697,3.71E-06,-2.746951413,-0.228018488
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,16/01/2012,269.962967,272.4529491,8.60E-07,-2.049031095,-0.16817506
BE2,Vlaams Gewest,16/01/2012,270.3753002,272.8334547,9.80E-07,-2.155703264,-0.11714615
BE3,Région wallonne,16/01/2012,268.3808835,272.2995164,8.61E-07,-2.497216256,0.389304608
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,17/01/2012,269.217051,272.3470243,1.79E-08,0.553744216,2.089289237
BE2,Vlaams Gewest,17/01/2012,269.7683477,272.5609607,1.69E-08,0.497099255,1.996466146
BE3,Région wallonne,17/01/2012,268.3763787,272.1004351,1.73E-08,-0.135900732,1.770143197
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,18/01/2012,273.58685,275.3382719,0.002768015,2.450956688,3.957035044
BE2,Vlaams Gewest,18/01/2012,274.0176028,275.7105334,0.0024144,2.336169778,3.628036516
BE3,Région wallonne,18/01/2012,272.2124474,274.114196,0.002114338,2.167478821,3.716740344
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,19/01/2012,280.5732839,281.3911816,0.012136462,5.524642414,1.860570923
BE2,Vlaams Gewest,19/01/2012,280.5222776,281.4751275,0.012478942,5.483021209,1.385962178
BE3,Région wallonne,19/01/2012,279.523625,280.0242858,0.014236077,5.481893638,2.058624791
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,20/01/2012,275.3894366,277.386998,0.005003567,4.717721406,-0.716433679
BE2,Vlaams Gewest,20/01/2012,275.4762066,277.800742,0.004536239,4.915586683,-0.913376954
BE3,Région wallonne,20/01/2012,274.7817397,276.1928789,0.008160412,4.856367266,-0.959594382
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,21/01/2012,278.9928215,280.6759646,0.003622989,5.801487318,0.831918218
BE2,Vlaams Gewest,21/01/2012,278.8318435,280.8155548,0.003712985,5.930380255,0.536055895
BE3,Région wallonne,21/01/2012,278.4217362,279.364547,0.00623897,5.785378185,0.739370975
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,22/01/2012,275.3955325,279.4194317,3.95E-04,5.885345327,0.123942164
BE2,Vlaams Gewest,22/01/2012,275.7575866,279.7225354,8.68E-04,6.152335844,-0.213605803
BE3,Région wallonne,22/01/2012,275.4010375,278.0174351,0.002245978,5.907597984,0.009761908
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,23/01/2012,275.3448831,277.2889446,0.002776094,3.819719926,0.081033444
BE2,Vlaams Gewest,23/01/2012,275.6890978,277.7360238,0.002484931,3.832250286,-0.261740066
BE3,Région wallonne,23/01/2012,274.5556443,276.2527932,0.00324001,3.8316977,-0.061920347
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,24/01/2012,274.7143163,275.7870246,0.001930233,1.572974157,1.405052858
BE2,Vlaams Gewest,24/01/2012,275.0347624,276.2084884,0.001944018,1.374238851,1.261344516
BE3,Région wallonne,24/01/2012,273.8232516,274.8793218,0.002044595,1.696319251,0.833142588
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,25/01/2012,276.6633619,277.7076745,0.001334276,-0.680147215,3.069891096
BE2,Vlaams Gewest,25/01/2012,276.9996277,278.0133485,0.001262979,-0.863806814,2.766207553
BE3,Région wallonne,25/01/2012,275.1834979,276.2204629,0.001189721,-1.02990494,3.172738472
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,26/01/2012,278.5049318,279.73119,0.002340411,0.445153324,3.817087993
BE2,Vlaams Gewest,26/01/2012,278.3914686,279.8111056,0.003046516,0.349090562,3.762711324
BE3,Région wallonne,26/01/2012,276.8005595,278.1039968,0.003096383,-0.355619232,3.492030899
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,27/01/2012,274.9319584,276.8168281,7.51E-04,1.652090027,2.794174132
BE2,Vlaams Gewest,27/01/2012,275.3048301,277.0732697,8.69E-04,1.57419717,2.756904118
BE3,Région wallonne,27/01/2012,274.1290632,275.6829752,2.42E-04,1.323784229,2.33483792
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,28/01/2012,274.4114143,275.7177144,0.002114309,-1.130674311,0.313680287
BE2,Vlaams Gewest,28/01/2012,274.4538774,275.8322683,0.001755836,-1.222833451,0.177653949
BE3,Région wallonne,28/01/2012,273.107989,274.7097206,0.001170165,-1.183929234,0.538384837
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,29/01/2012,269.7981195,272.0795914,5.34E-05,-1.881927524,-2.031888635
BE2,Vlaams Gewest,29/01/2012,270.1677811,272.6243107,9.44E-05,-1.953299535,-1.796852937
BE3,Région wallonne,29/01/2012,269.2923127,271.4853052,1.36E-04,-1.727908399,-2.559100782
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,30/01/2012,268.7526607,271.967535,7.09E-04,-0.197241733,-0.859923975
BE2,Vlaams Gewest,30/01/2012,269.2855158,272.3648361,0.001322922,-0.623283715,-0.387213008
BE3,Région wallonne,30/01/2012,268.5850934,271.2050494,0.001940512,-0.256485112,-0.879008885
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,31/01/2012,267.2985959,270.7563504,4.32E-05,-2.383520471,-2.155458819
BE2,Vlaams Gewest,31/01/2012,267.1568192,271.0118862,5.16E-05,-2.703934822,-1.877636531
BE3,Région wallonne,31/01/2012,267.1049819,270.207189,6.48E-05,-2.218591756,-1.993026669
