NUTS_ID,NUTS_NAME,date,dewpoint_temperature_2m,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
RO1,Macroregiunea Unu,01/01/2012,267.6806196,270.381287,2.07E-04,0.424455314,0.517494214
RO2,Macroregiunea Doi,01/01/2012,267.8608733,271.9661634,4.21E-05,1.439535244,-0.522668158
RO3,Macroregiunea Trei,01/01/2012,268.8435422,271.654303,1.38E-05,1.282312946,-0.303053775
RO4,Macroregiunea Patru,01/01/2012,268.9352021,272.0488114,1.56E-05,0.437734099,0.320265997
RO1,Macroregiunea Unu,02/01/2012,269.7414837,272.7650954,1.84E-04,-0.454350359,0.92351655
RO2,Macroregiunea Doi,02/01/2012,269.6930228,273.3745048,1.88E-05,1.242955389,1.588351689
RO3,Macroregiunea Trei,02/01/2012,269.4766309,273.2099224,5.91E-06,1.605156054,0.687403238
RO4,Macroregiunea Patru,02/01/2012,270.9403941,274.9262159,1.69E-05,-0.243558079,0.662947826
RO1,Macroregiunea Unu,03/01/2012,273.0109563,275.043927,1.65E-04,0.366064091,0.674568718
RO2,Macroregiunea Doi,03/01/2012,273.2105983,275.625422,4.23E-05,1.475439693,0.570588224
RO3,Macroregiunea Trei,03/01/2012,272.376163,275.5369567,8.53E-07,1.669739727,0.299680877
RO4,Macroregiunea Patru,03/01/2012,272.9054082,275.6644075,2.48E-06,0.722141331,0.273157011
RO1,Macroregiunea Unu,04/01/2012,273.6991152,275.2857248,0.001077063,0.407732614,1.141774741
RO2,Macroregiunea Doi,04/01/2012,274.0490182,275.9224326,1.02E-04,1.174864017,1.513308705
RO3,Macroregiunea Trei,04/01/2012,273.7128632,275.8176598,9.12E-07,1.41632925,0.520593345
RO4,Macroregiunea Patru,04/01/2012,274.1420737,276.2490137,2.17E-04,0.523284753,0.438341362
RO1,Macroregiunea Unu,05/01/2012,272.1509284,274.501744,0.002065167,0.869614827,1.739433558
RO2,Macroregiunea Doi,05/01/2012,273.5178119,276.3594599,5.20E-04,1.17922239,1.7572845
RO3,Macroregiunea Trei,05/01/2012,273.9703206,276.415773,0.001505078,1.433052384,0.973480802
RO4,Macroregiunea Patru,05/01/2012,273.6845695,276.0082739,0.004431059,0.686121598,0.908058662
RO1,Macroregiunea Unu,06/01/2012,272.4286719,273.8408916,0.003872741,1.020041728,-0.478443497
RO2,Macroregiunea Doi,06/01/2012,275.1680154,277.069673,0.006759737,-0.021516656,0.510629939
RO3,Macroregiunea Trei,06/01/2012,276.0324409,277.4736672,0.014022087,-1.196250765,-1.284586897
RO4,Macroregiunea Patru,06/01/2012,273.7009333,275.8259383,0.00754886,0.665081875,-1.759550428
RO1,Macroregiunea Unu,07/01/2012,268.9993614,271.815527,0.002032716,0.772341157,-1.769612606
RO2,Macroregiunea Doi,07/01/2012,272.3957179,274.3548923,0.009857405,0.288917919,-4.037186249
RO3,Macroregiunea Trei,07/01/2012,273.3936282,275.2256449,0.016902481,-0.848295816,-3.738363134
RO4,Macroregiunea Patru,07/01/2012,270.8609805,273.9798722,0.004515867,1.226378876,-2.142329037
RO1,Macroregiunea Unu,08/01/2012,266.6548306,270.0760047,5.82E-04,0.455224271,0.028543588
RO2,Macroregiunea Doi,08/01/2012,267.6749958,272.3090109,1.28E-04,1.14076028,-1.876725728
RO3,Macroregiunea Trei,08/01/2012,270.3378963,273.221193,9.33E-05,1.119944167,-0.449334373
RO4,Macroregiunea Patru,08/01/2012,269.7317307,272.3642693,0.002098701,0.987801458,-0.105977527
RO1,Macroregiunea Unu,09/01/2012,268.622713,270.7973254,9.30E-04,1.163631188,-0.954900352
RO2,Macroregiunea Doi,09/01/2012,268.3348905,272.6551986,7.63E-04,1.602523248,-2.57131576
RO3,Macroregiunea Trei,09/01/2012,268.4674318,272.632144,1.40E-04,1.034435871,-1.033636843
RO4,Macroregiunea Patru,09/01/2012,270.163901,272.8923671,6.35E-04,1.000939016,-1.262203894
RO1,Macroregiunea Unu,10/01/2012,268.718934,270.8430869,4.13E-04,0.895411031,-0.256040666
RO2,Macroregiunea Doi,10/01/2012,269.5968946,273.266738,2.57E-04,0.992812854,-2.48731821
RO3,Macroregiunea Trei,10/01/2012,269.210973,272.6424307,7.67E-05,0.509035737,-0.92738754
RO4,Macroregiunea Patru,10/01/2012,270.2111691,272.5894913,3.49E-04,0.98384213,-0.610494418
RO1,Macroregiunea Unu,11/01/2012,269.3901938,271.1209305,6.68E-04,1.265394119,-0.168091078
RO2,Macroregiunea Doi,11/01/2012,268.6503148,272.2926069,1.95E-04,0.968795899,-1.575959485
RO3,Macroregiunea Trei,11/01/2012,268.6016018,272.1810235,4.52E-05,0.897076907,-1.033863111
RO4,Macroregiunea Patru,11/01/2012,269.9522521,272.3449632,1.39E-04,0.84648317,-0.49850683
RO1,Macroregiunea Unu,12/01/2012,271.0012392,272.602134,8.68E-04,1.315647671,0.871275971
RO2,Macroregiunea Doi,12/01/2012,270.3736537,274.0422089,1.77E-04,2.117351067,0.324684293
RO3,Macroregiunea Trei,12/01/2012,270.4427684,273.3290369,3.01E-05,2.036765486,0.247088183
RO4,Macroregiunea Patru,12/01/2012,271.8389076,274.0321392,1.95E-04,1.222298909,0.208551317
RO1,Macroregiunea Unu,13/01/2012,270.123313,272.1060532,0.005793739,2.6382336,0.64092168
RO2,Macroregiunea Doi,13/01/2012,270.5519676,274.0052081,5.94E-04,2.287721326,0.8361901
