NUTS_ID,NUTS_NAME,date,dewpoint_temperature_2m,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
UKJ,South East (England),01/01/2015,280.0525637,281.3874616,9.22E-04,3.633713913,6.003746265
UKK,South West (England),01/01/2015,282.359518,283.3895557,0.002175731,3.781242944,6.122574636
UKL,Wales,01/01/2015,282.5430974,283.2680863,0.008797195,4.027924527,5.979603237
UKM,Scotland,01/01/2015,279.3453173,280.7815819,0.019963815,3.764699107,4.560240491
UKN,Northern Ireland,01/01/2015,281.1168736,282.7562558,0.009594931,3.690055296,4.67661108
UKC,North East (England),01/01/2015,281.5139781,283.2477618,0.00524384,5.962377526,5.678604006
UKD,North West (England),01/01/2015,282.0003177,283.0369642,0.013792566,3.997470333,6.084601875
UKE,Yorkshire and the Humber,01/01/2015,281.537213,283.0478255,0.003003137,5.045688758,6.624870083
UKF,East Midlands (England),01/01/2015,281.2226326,282.5152625,0.001281275,4.597429827,6.746485098
UKG,West Midlands (England),01/01/2015,281.8649832,283.0428716,0.001766364,3.407806105,5.957768938
UKH,East of England,01/01/2015,279.7852894,281.1856054,0.002389133,4.143555377,6.487096064
UKI,London,01/01/2015,279.7238759,281.0514052,0.001101083,3.244597914,5.431243207
UKJ,South East (England),02/01/2015,276.9770355,280.5568205,4.79E-04,4.899125286,0.687170358
UKK,South West (England),02/01/2015,276.7393632,280.3380776,4.38E-04,4.340958725,-0.070776656
UKL,Wales,02/01/2015,274.4220048,278.9947764,3.19E-04,5.177487334,0.281965403
UKM,Scotland,02/01/2015,272.8431895,276.0419102,0.007213725,7.505657826,1.516745063
UKN,Northern Ireland,02/01/2015,273.2455281,277.8694204,0.001520059,5.711426191,1.899766725
UKC,North East (England),02/01/2015,273.1436316,277.4573356,7.67E-04,7.80292484,1.546737691
UKD,North West (England),02/01/2015,273.8173791,278.2612977,0.002274256,7.344740867,0.713269789
UKE,Yorkshire and the Humber,02/01/2015,273.6200758,278.7281808,6.24E-04,7.903492273,0.758964941
UKF,East Midlands (England),02/01/2015,274.2728037,279.6629829,2.51E-04,6.746436899,0.764298438
UKG,West Midlands (England),02/01/2015,274.4515718,279.2893081,2.45E-04,5.187967229,0.526293443
UKH,East of England,02/01/2015,275.6639765,280.6298945,4.46E-04,6.265676301,0.974417224
UKI,London,02/01/2015,276.8297669,280.7206625,3.86E-04,4.624595642,0.930503736
UKJ,South East (England),03/01/2015,276.649054,277.9762944,0.011965703,0.608569649,0.042495847
UKK,South West (England),03/01/2015,278.6389844,280.0111367,0.01235894,1.568395085,0.447005491
UKL,Wales,03/01/2015,275.3994993,276.5590475,0.012468557,-0.347305299,0.1359637
UKM,Scotland,03/01/2015,271.5220411,274.8211154,0.001693029,3.926768854,-0.619977743
UKN,Northern Ireland,03/01/2015,275.2743604,277.1711793,0.004877807,1.54617313,0.203029969
UKC,North East (England),03/01/2015,273.6837359,276.3160041,0.001170029,4.15323887,0.009237136
UKD,North West (England),03/01/2015,274.666225,276.4672877,0.0034265,2.436673278,0.496273342
UKE,Yorkshire and the Humber,03/01/2015,274.0722872,276.3598917,0.001889617,3.51624105,0.708959549
UKF,East Midlands (England),03/01/2015,274.5836045,276.0715387,0.005387036,2.074908201,0.613379282
UKG,West Midlands (England),03/01/2015,275.0211468,276.0211107,0.008980663,0.431222972,0.113372177
UKH,East of England,03/01/2015,275.117824,276.6749822,0.008819673,1.6638434,0.255668523
UKI,London,03/01/2015,275.8491939,277.09468,0.011650382,0.165246474,0.041821947
UKJ,South East (England),04/01/2015,274.6873791,275.9805667,6.08E-05,0.602896243,0.70622422
UKK,South West (England),04/01/2015,276.4296654,277.8073073,1.11E-04,-1.308954071,1.508599188
UKL,Wales,04/01/2015,274.0363292,274.8625558,9.94E-05,-0.549734523,1.841792579
UKM,Scotland,04/01/2015,273.597596,275.7822386,3.04E-04,2.618463368,2.985644658
UKN,Northern Ireland,04/01/2015,275.3133385,276.4171883,1.27E-04,0.823778905,3.223542088
UKC,North East (England),04/01/2015,272.2873108,274.5840544,3.49E-06,2.922966605,1.599514274
UKD,North West (England),04/01/2015,272.7785903,274.1913296,5.10E-05,0.736542807,1.87925299
UKE,Yorkshire and the Humber,04/01/2015,271.6178692,273.2149533,7.16E-06,2.220228256,1.253535283
UKF,East Midlands (England),04/01/2015,272.2909576,273.2698118,7.04E-06,2.059802806,1.223638343
UKG,West Midlands (England),04/01/2015,272.9976232,273.6036584,1.52E-05,0.946469595,1.474525219
UKH,East of England,04/01/2015,272.952635,274.1737911,2.28E-05,2.32050397,0.697592343
UKI,London,04/01/2015,274.3015885,275.4986491,5.64E-05,1.250222119,0.646636482
UKJ,South East (England),05/01/2015,278.9532167,280.0910641,2.57E-04,0.930245142,3.032987097
UKK,South West (England),05/01/2015,279.6000521,281.0011252,2.50E-04,0.720196502,3.349693372
UKL,Wales,05/01/2015,278.8027652,279.997569,2.75E-04,0.925825451,3.507231315
UKM,Scotland,05/01/2015,278.3400359,279.4602583,0.001032825,1.362144301,4.450004314
UKN,Northern Ireland,05/01/2015,279.7943219,281.0366093,2.48E-04,0.538210352,4.514728446
UKC,North East (England),05/01/2015,277.7295156,278.79455,2.20E-05,2.083796574,3.163269957
UKD,North West (England),05/01/2015,278.0767969,278.8097153,2.02E-04,0.370868754,3.386963984
UKE,Yorkshire and the Humber,05/01/2015,277.4314048,278.2596671,6.17E-05,1.741705185,3.120399358
UKF,East Midlands (England),05/01/2015,278.0782282,279.0958482,1.41E-04,1.661725003,3.328026388
UKG,West Midlands (England),05/01/2015,278.6492056,279.6109914,8.33E-05,0.779052186,3.113838058
UKH,East of England,05/01/2015,278.074187,279.0996517,2.75E-04,1.420681748,3.134662366
UKI,London,05/01/2015,278.5926444,279.6780739,1.52E-04,0.842503654,2.485424081
UKJ,South East (England),06/01/2015,277.7269735,279.5038743,4.16E-04,2.494951066,1.907694159
UKK,South West (England),06/01/2015,277.6671181,280.1057026,5.09E-04,3.039952492,1.371030068
UKL,Wales,06/01/2015,276.8994451,278.9422469,0.001959728,3.067857826,1.628645788
UKM,Scotland,06/01/2015,275.4482039,277.210191,0.006724341,3.056653719,2.233045882
UKN,Northern Ireland,06/01/2015,275.9219212,277.7621227,0.004230283,2.795761491,2.326315148
UKC,North East (England),06/01/2015,276.2931108,278.0497623,0.001375343,3.124667535,2.431402524
UKD,North West (England),06/01/2015,276.8375533,278.3243877,0.003236936,2.799310343,2.209317153
UKE,Yorkshire and the Humber,06/01/2015,277.118996,278.4404302,0.00116993,3.21473607,2.625141403
UKF,East Midlands (England),06/01/2015,277.3905761,278.7945748,0.001205883,2.9391731,2.615227318
UKG,West Midlands (England),06/01/2015,277.1441564,278.7491518,8.18E-04,2.478509405,2.041019785
UKH,East of England,06/01/2015,277.4838317,278.9481789,7.43E-04,2.523003835,2.515033985
UKI,London,06/01/2015,277.5538627,279.4018217,3.63E-04,2.081099303,1.775084252
UKJ,South East (England),07/01/2015,276.622306,279.3016031,5.41E-04,3.42691711,4.427724654
UKK,South West (England),07/01/2015,277.38445,280.5596153,0.001073001,3.613462637,5.088137569
UKL,Wales,07/01/2015,278.4075483,280.5095346,0.006106951,3.933965696,5.609535636
UKM,Scotland,07/01/2015,277.2807023,278.9859099,0.017395308,3.015260003,5.866957466
UKN,Northern Ireland,07/01/2015,278.9322195,280.824205,0.009247162,3.207204955,5.461853647
UKC,North East (England),07/01/2015,277.6974978,279.5297279,0.005728935,4.015214153,5.582757865
UKD,North West (England),07/01/2015,278.1625551,279.7604355,0.014264079,3.231616582,5.852205122
UKE,Yorkshire and the Humber,07/01/2015,276.9640236,278.8435928,0.003145274,3.705331433,5.926431991
UKF,East Midlands (England),07/01/2015,276.3866139,278.8018332,7.39E-04,3.809287177,5.80882438
UKG,West Midlands (England),07/01/2015,277.0048027,279.3216221,7.58E-04,2.909495966,5.352500828
UKH,East of England,07/01/2015,276.0824492,278.6037834,1.58E-04,3.685040683,4.973651008
UKI,London,07/01/2015,276.3798109,278.8802943,1.04E-04,2.953923515,4.114748429
UKJ,South East (England),08/01/2015,279.3595911,281.4617922,0.014579889,4.586741115,1.879097911
UKK,South West (England),08/01/2015,279.1241907,281.7563216,0.01112,5.013016906,1.395734649
UKL,Wales,08/01/2015,277.3344992,279.9556013,0.005608392,4.891513734,1.92843783
UKM,Scotland,08/01/2015,273.5028739,276.1272369,0.007808696,4.85550304,3.684076674
UKN,Northern Ireland,08/01/2015,275.2944416,278.0402789,0.004501621,4.135790582,3.577270767
UKC,North East (England),08/01/2015,274.6579153,277.71856,0.002541465,5.244606848,2.634517482
UKD,North West (England),08/01/2015,276.0745126,278.6284929,0.005678434,4.92673166,2.074763516
UKE,Yorkshire and the Humber,08/01/2015,276.1291942,278.9740871,0.002400257,5.205489687,2.000937442
UKF,East Midlands (England),08/01/2015,277.6727855,280.2339262,0.002604511,4.763841861,2.052497627
UKG,West Midlands (England),08/01/2015,277.5396508,280.2071378,0.003323899,4.184071072,1.84103999
UKH,East of England,08/01/2015,278.7878925,281.1254203,0.006844508,4.822152789,2.154159221
UKI,London,08/01/2015,279.3254526,281.4005541,0.013468814,4.035801843,1.699218217
UKJ,South East (England),09/01/2015,281.625207,284.1031109,0.001167145,7.601525512,3.306424739
UKK,South West (England),09/01/2015,282.4939989,284.212688,0.002654015,7.782384399,2.971209685
UKL,Wales,09/01/2015,281.4263528,282.8215641,0.005709588,6.786994277,3.663692901
UKM,Scotland,09/01/2015,275.2204112,278.290921,0.013332481,7.014747594,2.719211069
UKN,Northern Ireland,09/01/2015,279.303528,282.4441407,0.008814623,6.643484677,3.428132792
UKC,North East (England),09/01/2015,277.5122727,281.0294288,0.006020085,8.074759665,3.378325929
UKD,North West (England),09/01/2015,279.0261548,282.0710636,0.008023441,7.623416142,3.887377788
UKE,Yorkshire and the Humber,09/01/2015,278.4784419,282.3668849,0.004774297,9.029689342,3.648791484
UKF,East Midlands (England),09/01/2015,279.8100861,283.4409165,0.001670166,8.426997175,3.507232821
UKG,West Midlands (England),09/01/2015,280.9126587,283.5243081,0.001780722,6.98474959,3.088940452
UKH,East of England,09/01/2015,280.2252291,283.7338695,6.25E-04,7.774336138,3.557877753
UKI,London,09/01/2015,281.2143588,284.1890147,4.11E-04,6.83429539,3.117408052
UKJ,South East (England),10/01/2015,277.1783617,281.8094698,8.61E-04,7.395274974,1.636893542
UKK,South West (England),10/01/2015,277.2467713,281.4237734,0.001248947,7.722878368,0.647832654
UKL,Wales,10/01/2015,275.7454444,279.672372,0.003862173,7.618031333,1.002292427
UKM,Scotland,10/01/2015,272.8487902,276.1461551,0.012281793,8.606776447,1.079135292
UKN,Northern Ireland,10/01/2015,273.8322197,278.0125127,0.005564037,7.764179626,1.069606278
UKC,North East (England),10/01/2015,274.2300258,278.2496553,0.004788062,8.503364053,2.517017631
UKD,North West (England),10/01/2015,275.0780099,278.8214003,0.007267385,8.593411329,1.582185302
UKE,Yorkshire and the Humber,10/01/2015,275.1235792,279.622076,0.002886475,9.314538381,1.791509047
UKF,East Midlands (England),10/01/2015,275.694077,280.7925593,0.00177923,8.555138718,1.823585108
UKG,West Midlands (England),10/01/2015,275.6899255,280.4949947,0.001464928,7.153999378,1.421716645
UKH,East of England,10/01/2015,276.5255391,281.8014527,0.001670973,8.278253744,1.840383644
UKI,London,10/01/2015,276.9303917,282.1198296,7.28E-04,6.900153121,1.61510566
UKJ,South East (England),11/01/2015,273.8030338,278.4245613,6.11E-05,6.226089982,1.044175165
UKK,South West (England),11/01/2015,274.4974681,279.1169814,3.56E-04,6.68389079,0.588209822
UKL,Wales,11/01/2015,274.052736,277.9186477,0.001190978,6.762910412,1.355969488
UKM,Scotland,11/01/2015,273.5402258,275.8842281,0.013490975,6.689115083,2.369576931
UKN,Northern Ireland,11/01/2015,274.287595,278.0249097,0.003780692,5.861623572,2.719882318
UKC,North East (England),11/01/2015,273.486868,276.2209171,0.003034453,7.289823828,2.278023934
UKD,North West (England),11/01/2015,274.3972377,277.1168496,0.006105703,7.416708554,1.79667152
UKE,Yorkshire and the Humber,11/01/2015,273.9292291,277.0275767,0.003330463,7.774524135,1.655062272
UKF,East Midlands (England),11/01/2015,273.2384265,277.7690281,4.32E-04,7.034418358,1.353877062
