Name,Concept ID,Concept Code,Concept Name,Concept Class ID,Domain,Vocabulary
heat_effects_MPM,40408850,212938002,"(Siriasis) or (thermoplegia) or (heat stroke, unspecified)",Clinical Finding,Condition,SNOMED
heat_effects_MPM,433664,217593006,Accident due to hot weather,Event,Observation,SNOMED
heat_effects_MPM,40317740,157913004,Accident due to hot weather,Event,Observation,SNOMED
heat_effects_MPM,45454261,TE00.00,Accidents due to hot weather,Read,Observation,Read
heat_effects_MPM,441180,16209006,Anhidrotic heat exhaustion,Clinical Finding,Condition,SNOMED
heat_effects_MPM,45427542,SN21.11,Collapse - heat,Read,Condition,Read
heat_effects_MPM,45480539,M12y400,Contact dermatitis due to hot weather,Read,Condition,Read
heat_effects_MPM,40396255,200872009,Contact dermatitis due to hot weather,Clinical Finding,Condition,SNOMED
heat_effects_MPM,4175119,48681004,Contact dermatitis due to hot weather,Clinical Finding,Condition,SNOMED
heat related illness,19152,T67.9,"Effect of heat and light, unspecified",4-char nonbill code,Condition,ICD10CM
heat related illness,45575497,T67.9XXA,"Effect of heat and light, unspecified, initial encounter",7-char billing code,Condition,ICD10CM
heat_effects_MPM,45427541,SN2..00,Effects of heat and light,Read,Condition,Read
heat related illness,1575134,T67,Effects of heat and light,3-char nonbill code,Observation,ICD10CM
heat_effects_MPM,42536884,735907005,Exertional heat stroke,Clinical Finding,Condition,SNOMED
heat related illness,1553949,T67.02,Exertional heatstroke,5-char nonbill code,Condition,ICD10CM
heat related illness,1553950,T67.02XA,"Exertional heatstroke, initial encounter",7-char billing code,Condition,ICD10CM
heat related illness,1553951,T67.02XD,"Exertional heatstroke, subsequent encounter",7-char billing code,Condition,ICD10CM
heat related illness,19145,T67.2,Heat cramp,4-char nonbill code,Condition,ICD10CM
heat_effects_MPM,78633,87108006,Heat cramp,Clinical Finding,Condition,SNOMED
heat_effects_MPM,40316724,157725005,Heat cramp,Clinical Finding,Condition,SNOMED
heat related illness,45546638,T67.2XXA,"Heat cramp, initial encounter",7-char billing code,Condition,ICD10CM
heat_effects_MPM,45484315,SN22.00,Heat cramps,Read,Condition,Read
heat_effects_MPM,40351389,269277006,Heat exhaustion,Clinical Finding,Condition,SNOMED
heat_effects_MPM,40316725,157726006,Heat exhaustion,Clinical Finding,Condition,SNOMED
heat_effects_MPM,437744,95868006,Heat exhaustion,Clinical Finding,Condition,SNOMED
heat_effects_MPM,435702,76149006,Heat exhaustion due to salt depletion,Clinical Finding,Condition,SNOMED
heat related illness,19147,T67.4,Heat exhaustion due to salt depletion,4-char nonbill code,Condition,ICD10CM
heat_effects_MPM,45517567,SN24.00,Heat exhaustion due to salt depletion,Read,Condition,Read
heat related illness,45585174,T67.4XXA,"Heat exhaustion due to salt depletion, initial encounter",7-char billing code,Condition,ICD10CM
heat_effects_MPM,45520801,SN23.00,Heat exhaustion due to water depletion - anhydrotic,Read,Condition,Read
heat related illness,19146,T67.3,"Heat exhaustion, anhydrotic",4-char nonbill code,Condition,ICD10CM
heat related illness,45580354,T67.3XXA,"Heat exhaustion, anhydrotic, initial encounter",7-char billing code,Condition,ICD10CM
heat_effects_MPM,45524093,SN25.00,"Heat exhaustion, unspecified",Read,Condition,Read
heat related illness,19148,T67.5,"Heat exhaustion, unspecified",4-char nonbill code,Condition,ICD10CM
heat related illness,45556202,T67.5XXA,"Heat exhaustion, unspecified, initial encounter",7-char billing code,Condition,ICD10CM
heat_effects_MPM,4320028,95867001,Heat exposure,Clinical Finding,Condition,SNOMED
heat_effects_MPM,44836480,992.6,"Heat fatigue, transient",4-dig billing code,Condition,ICD9CM
heat_effects_MPM,45524094,SN26.00,"Heat fatigue, transient",Read,Condition,Read
