S.No,comorbidity_name,count
1,Blood pressure finding,73
2,Finding of pulse rate,24
3,Vomiting,6
4,Headache,3
5,Solar erythema,3
6,Urinary tract infectious disease,3
7,Abdomen examined - NAD,2
8,Abdominal pain,2
9,Angina pectoris,2
10,Blurred vision,2
11,Dehydration,2
12,Heart block,2
13,Hypothyroidism,2
14,Injury of head,2
15,Lethargy,2
16,Neck pain,2
17,Pyrexia of unknown origin,2
18,Actinic keratosis,1
19,Acute kidney injury,1
20,Acute lower respiratory tract infection,1
21,Acute pharyngitis,1
22,Acute pyelonephritis,1
23,Alcohol intoxication,1
24,Allergic rhinitis,1
25,Anxiety,1
26,Anxiety disorder,1
27,Black feces,1
28,Blood in ear canal,1
29,Cellulitis,1
30,Cellulitis of foot due to diabetes mellitus,1
31,Chest pain,1
32,Collapse,1
33,Community acquired pneumonia,1
34,Complete atrioventricular block,1
35,Concussion injury of brain,1
36,Constipation,1
37,Contusion of face,1
38,Cystitis,1
39,Dermal mycosis,1
40,Dermatophytosis,1
41,Dizziness,1
42,Dizziness and giddiness,1
43,Eruption,1
44,Face goes red,1
45,Feeling of lump in throat,1
46,Finding of measures of body temperature,1
47,Flushing,1
48,Folic acid deficiency,1
49,Frailty,1
50,Hypokalemia,1
51,Hypophosphatemia,1
52,Increased blood pressure,1
53,Infective pneumonia,1
54,Irritable bowel syndrome,1
55,Joint pain,1
56,Miliaria crystallina,1
57,Mixed anxiety and depressive disorder,1
58,Nausea,1
59,Non-traumatic subdural hemorrhage,1
60,Orchitis and epididymitis,1
61,Orthostatic hypotension,1
62,Osteopenia,1
63,Pain in lower limb,1
64,Pain of knee region,1
65,Palpitations,1
66,Pityriasis versicolor,1
67,Pleural effusion,1
68,Posterior rhinorrhea,1
69,Pressure injury,1
70,Pruritic disorder,1
71,Scaly scalp,1
72,Stomach cramps,1
73,Stress-related problem,1
74,Subarachnoid hemorrhage,1
75,Swelling,1
76,Syncope symptom,1
77,Thrombophlebitis of deep veins of lower extremity,1
78,Trifascicular block,1
79,Upper respiratory infection,1
80,Urticaria,1
81,Varicose veins of lower extremity,1
82,Vasovagal syncope,1
83,Vibration white finger,1
84,Viral gastroenteritis,1
