S.No,comorbidity_name,count
1,Depressive disorder,51
2,No matching concept,49
3,Disorders of initiating and maintaining sleep,47
4,Essential hypertension,32
5,Pure hypercholesterolemia,28
6,Anxiety disorder,27
7,Pain,26
8,Disorder of intestine,24
9,Nausea and vomiting,24
10,Viral disease,20
11,Allergic rhinitis,19
12,Acute pharyngitis,18
13,Sunburn of first degree,18
14,Common cold,17
15,Asthma,16
16,Gastroesophageal reflux disease,16
17,Gastritis,15
18,Low back pain,13
19,Urticaria,13
20,Esophagitis,11
21,Intestinal infectious disease,10
22,Type 2 diabetes mellitus without complication,10
23,Acute tonsillitis,8
24,Headache,8
25,Migraine,8
26,Acute sinusitis,6
27,Diarrhea,6
28,Enthesopathy,6
29,Hypothyroidism,6
30,Malaise and fatigue,6
31,Vitamin B deficiency,6
32,Cough,5
33,Herpes simplex,5
34,Muscle contracture,5
35,Solar erythema,5
36,Acute atopic conjunctivitis,4
37,Atrial arrhythmia,4
38,Complication of procedure,4
39,Erysipelas,4
40,Inflammatory dermatosis,4
41,Influenza,4
42,Itching of skin,4
43,Perimenopausal disorder,4
44,Sleep disorder,4
45,Abdominal pain,3
46,Acute bronchitis,3
47,Acute conjunctivitis,3
48,Acute laryngitis,3
49,Acute upper respiratory infection,3
50,Chronic obstructive lung disease,3
51,Diaphragmatic hernia,3
52,Disorder of soft tissue,3
53,Dizziness and giddiness,3
54,Epilepsy,3
55,Feeling nervous,3
56,Hypertension secondary to endocrine disorder,3
57,Lateral epicondylitis,3
58,Menopausal syndrome,3
59,Non-scarring alopecia,3
60,Osteoporosis,3
61,Pain in limb,3
62,Polyneuropathy,3
63,Severe major depression with psychotic features,3
64,Synovitis and tenosynovitis,3
65,Acquired absence of organ,2
66,Acute suppurative otitis media,2
67,Alcohol dependence,2
68,Allergic asthma,2
69,Allergic rhinitis due to pollen,2
70,Benign paroxysmal positional vertigo,2
71,Bronchopneumonia,2
72,COVID-19,2
73,Cardiac arrhythmia,2
74,Cerebral palsy,2
75,Contact dermatitis,2
76,Cystitis,2
77,Diabetes mellitus without complication,2
78,Disorder due to infection,2
79,Disorder of digestive system,2
80,Disorder of nasal cavity,2
81,Heart failure,2
82,Infectious mononucleosis,2
83,Intervertebral disc prolapse,2
84,Iron deficiency,2
85,Ischemic stroke,2
86,Localized edema,2
87,Lymphedema,2
88,Multiple sclerosis,2
89,Orthostatic hypotension,2
90,Otitis externa,2
91,Peripheral venous insufficiency,2
92,Polyarthropathy,2
93,Spasm,2
94,Superficial injury,2
95,Thrombophlebitis,2
