S.No,drug_name,count
1,no matching concept,336
2,pantoprazole,41
3,furosemide,35
4,levothyroxine 0.,35
5,tamsulosin 0.,33
6,aspirin,30
7,lansoprazole,29
8,metformin,27
9,atorvastatin,20
10,24 hr nitroglycerin 0./hr transdermal system,19
11,terazosin,18
12,amlodipine,17
13,amoxicillin / clavulanate,17
14,folic acid,17
15,propafenone,17
16,acenocoumarol,16
17,bisoprolol 2.,16
18,ramipril,15
19,omeprazole,13
20,allopurinol,12
21,bisoprolol 1.,12
22,bisoprolol,11
23,acarbose,10
24,esomeprazole,10
25,lovastatin,10
26,paroxetine,10
27,0. epoetin alfa prefilled syringe,9
28,dutasteride 0.,9
29,rifaximin,9
30,simvastatin,9
31,cholecalciferol,8
32,ferrous sulfate,8
33,sodium chloride /ml,8
34,venlafaxine 37.,8
35,alprazolam 0.,7
36,calcifediol 0.,7
37,diclofenac,7
38,digoxin 0.,7
39,escitalopram,7
40,ezetimibe,7
41,lercanidipine,7
42,lorazepam 2.,7
43,methimazole,7
44,olmesartan,7
45,rivaroxaban,7
46,rosuvastatin,7
47,azithromycin,6
48,beclomethasone 0./ml inhalant,6
49,canrenone,6
50,lormetazepam suspension,6
51,timolol /ml ophthalmic,6
53,carvedilol,5
54,diltiazem,5
55,hydrochlorothiazide / ramipril,5
56,ibuprofen,5
57,levothyroxine 0./ml,5
58,nebivolol,5
59,pregabalin,5
60,silodosin,5
61,ursodeoxycholate,5
62,2. cholecalciferol,4
63,3. ceftriaxone /ml injectable,4
64,30 actuat fluticasone 0./actuat / vilanterol 0./actuat inhalation powder,4
65,amiodarone,4
66,apixaban 2.,4
67,betamethasone,4
68,bimatoprost 0./ml / timolol /ml prefilled applicator,4
69,cefditoren pivoxil,4
70,cefixime,4
71,clonazepam 0.,4
72,docosahexaenoate,4
73,enalapril / lercanidipine,4
74,escitalopram /ml,4
75,ezetimibe / rosuvastatin,4
76,furosemide / spironolactone,4
77,letrozole 2.,4
78,metformin / sitagliptin,4
79,nimesulide,4
80,rupatadine,4
81,timolol /ml / travoprost 0./ml ophthalmic,4
82,topiramate,4
83,60 actuat fluticasone propionate 0./actuat / salmeterol 0./actuat dry powder inhaler,3
84,albuterol inhalation,3
85,amoxicillin,3
86,bromazepam 2./ml,3
87,ciprofloxacin,3
88,deflazacort,3
89,diclofenac sodium,3
90,diflucortolone 0./mg / isoconazole 0./mg,3
91,edoxaban,3
92,etoricoxib,3
93,flecainide,3
94,indapamide 1.,3
95,irbesartan,3
96,lactulose /ml,3
97,magnesium granules,3
98,sertraline,3
99,ticlopidine,3
100,warfarin,3
