S.No,drug_name,count
1,omeprazole,45
2,lansoprazole,40
3,atorvastatin,37
4,simvastatin,37
5,levothyroxine sodium 0.,35
6,aspirin,31
7,acetaminophen,23
8,amlodipine,21
9,clopidogrel,19
10,furosemide,19
11,gabapentin,18
12,sertraline,18
13,losartan potassium,17
14,ramipril,16
15,bisoprolol fumarate 2.,14
16,amitriptyline hydrochloride,12
17,albuterol 0./actuat inhalant powder,11
18,bisoprolol fumarate 1.,11
19,citrate / glucose / potassium chloride / sodium chloride powder,11
20,alginic acid /ml / calcium carbonate /ml / sodium bicarbonate 26./ml suspension,10
21,azithromycin,10
22,bendroflumethiazide 2.,10
23,desogestrel 0.,10
24,isopropyl myristate /ml / mineral oil /ml,10
25,pregabalin,10
26,albuterol 0./actuat metered dose inhaler,9
27,alendronic acid,9
28,atenolol,9
29,beclomethasone 0./actuat / formoterol 0./actuat inhalant powder,9
30,beclomethasone 0./actuat inhalant powder,9
31,bisoprolol fumarate,9
32,calcium carbonate / cholecalciferol 400 unt chewable,9
33,citalopram,9
34,doxazosin,9
35,fexofenadine hydrochloride,9
36,lisinopril,9
37,metformin hydrochloride,9
38,quinine,9
39,tamsulosin 0.,9
40,beclomethasone 0./actuat nasal spray,8
41,bicarbonate ion 0.017 mmol/ml / polyethylene glycol 3350 /ml / potassium 0.0054 mmol/ml / sodium 0.065 mmol/ml powder,8
42,folic acid,8
43,hydrochlorothiazide / losartan potassium,8
44,loratadine,8
45,naproxen,8
46,ranitidine,8
47,sennoside b 7.,8
48,valproate,8
49,acetaminophen / codeine phosphate,7
50,cetirizine hydrochloride,7
51,chlorpheniramine maleate,7
52,digoxin 0.,7
53,diltiazem,7
54,finasteride,7
55,fluoxetine,7
56,nicorandil,7
57,rivaroxaban,7
58,allopurinol,6
59,betahistine,6
60,betamethasone 0./mg,6
61,carbocysteine,6
62,diazepam,6
63,lauromacrogols 0./mg / urea 0./mg,6
64,mirtazapine,6
65,montelukast,6
66,ramipril 2.,6
67,rosuvastatin calcium,6
68,solifenacin succinate,6
69,baclofen,5
70,benzalkonium /ml / chlorhexidine /ml / isopropyl myristate /ml / mineral oil /ml,5
71,hydrocortisone 0./mg,5
72,hydroxocobalamin /ml injectable,5
73,isosorbide mononitrate,5
74,mebeverine,5
75,quetiapine,5
76,warfarin sodium,5
78,acetaminophen / codeine,4
79,butylscopolamine,4
80,candesartan cilexetil,4
81,cephalexin,4
82,cholecalciferol 800 unt,4
83,escitalopram,4
84,felodipine 2.,4
85,ferrous fumarate,4
86,ferrous gluconate,4
87,indapamide 2.,4
88,levetiracetam,4
89,modified 24 hr metformin hydrochloride,4
90,nitroglycerin 0./actuat spray,4
91,perindopril erbumine,4
92,prochlorperazine buccal,4
93,propranolol hydrochloride,4
94,sildenafil,4
95,sumatriptan,4
96,tiotropium 0. inhalation powder,4
97,tramadol hydrochloride,4
98,trospium chloride,4
99,acetaminophen / dihydrocodeine bitartrate,3
100,alfuzosin hydrochloride,3
101,benserazide 12. / levodopa,3
102,budesonide 0./actuat / formoterol 0./actuat inhalant powder,3
103,calcium carbonate / cholecalciferol 200 unt,3
104,dapagliflozin,3
105,diclofenac 11./ml,3
106,dihydrocodeine bitartrate,3
107,eplerenone,3
